diana_objetivo,id_farmaco,nombre,ic50_nm,pchembl,anio,smiles,nivel_potencia
ACHE,CHEMBL346733,Sin nombre,430.0,6.37,1993,CCN(C)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,Media
ACHE,CHEMBL1203539,Sin nombre,600.0,6.22,1993,CCN(CC)Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1.Cl,Media
ACHE,CHEMBL63173,Sin nombre,21000.0,4.68,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCN4CCOCC4)ccc3N(C)[C@@H]12,Baja
ACHE,CHEMBL433041,EPTASTIGMINE,290.0,6.54,1995,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Media
ACHE,CHEMBL292788,Sin nombre,700.0,6.16,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCN4CCOCC4)ccc3N(C)[C@@H]12,Media
ACHE,CHEMBL155392,Sin nombre,630.0,6.2,1993,CNC(NCCNCc1ccc(CN(C)C)o1)=C(C#N)C#N,Media
ACHE,CHEMBL153311,Sin nombre,2100.0,5.68,1993,CNC(NCCNCc1ccc(CN(C(C)C)C(C)C)o1)=C(C#N)C#N,Media
ACHE,CHEMBL154263,Sin nombre,290.0,6.54,1993,CC1CCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)CC1,Media
ACHE,CHEMBL62664,Sin nombre,40.0,7.4,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,Muy Alta
ACHE,CHEMBL155111,Sin nombre,80.0,7.1,1993,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,Muy Alta
ACHE,CHEMBL1203534,Sin nombre,95.0,7.02,1993,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CC=CCC2)o1,Muy Alta
ACHE,CHEMBL64011,Sin nombre,60.0,7.22,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,Muy Alta
ACHE,CHEMBL65585,Sin nombre,70.0,7.16,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,Muy Alta
ACHE,CHEMBL347539,Sin nombre,280.0,6.55,1993,CNC(NCCNCc1ccc(CN2CCCC2)o1)=C(C#N)C#N,Media
ACHE,CHEMBL154433,Sin nombre,11000.0,4.96,1993,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCOCC2)o1,Baja
ACHE,CHEMBL157208,Sin nombre,1500.0,5.82,1993,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCSCC2)o1,Media
ACHE,CHEMBL1790041,RANITIDINE,650.0,6.19,1993,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,Media
ACHE,CHEMBL65356,Sin nombre,930.0,6.03,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,Media
ACHE,CHEMBL154366,Sin nombre,370.0,6.43,1993,CC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1,Media
ACHE,CHEMBL153821,Sin nombre,4500.0,5.35,1993,CC1CCCC(C)N1Cc1ccc(CNCCN2CCNC2=C(C#N)C#N)o1,Media
ACHE,CHEMBL94,PHYSOSTIGMINE,30.0,7.52,1995,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Muy Alta
ACHE,CHEMBL303574,Sin nombre,7600.0,5.12,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,Media
ACHE,CHEMBL65018,Sin nombre,80.0,7.1,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,Muy Alta
ACHE,CHEMBL66309,Sin nombre,380.0,6.42,1995,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,Media
ACHE,CHEMBL1203535,Sin nombre,3300.0,5.48,1993,COC1CCCN(Cc2ccc(CNCCN3CCNC3=C(C#N)C#N)o2)C1.Cl,Media
ACHE,CHEMBL152260,Sin nombre,370.0,6.43,1993,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC(O)C2)o1,Media
ACHE,CHEMBL154950,Sin nombre,9300.0,5.03,1993,C/N=c1\c(O)c(O)\c1=N/CCNCc1ccc(CN2CCCCC2)o1,Media
ACHE,CHEMBL1203538,Sin nombre,120.0,6.92,1993,Cl.N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCCCC2)o1,Media
ACHE,CHEMBL19060,BENEXTRAMINE,7244.36,5.14,1998,COc1ccccc1CNCCCCCCNCCSSCCNCCCCCCNCc1ccccc1OC,Media
ACHE,CHEMBL422977,Sin nombre,4466.84,5.35,1998,COc1ccccc1CNCCCCCCNCCCCCCCNCCCCCCNCc1ccccc1OC,Media
ACHE,CHEMBL11805,CAPROCTAMINE,169.82,6.77,1998,COc1ccccc1CN(C)CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(C)Cc1ccccc1OC,Media
ACHE,CHEMBL302179,Sin nombre,6456.54,5.19,1998,COc1ccccc1CNCCCCCCNCCCCCCNCCCCCCNCc1ccccc1OC,Media
ACHE,CHEMBL94,PHYSOSTIGMINE,14.13,7.85,1998,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Muy Alta
ACHE,CHEMBL27673,METHOCTRAMINE,5370.32,5.27,1998,COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,Media
ACHE,CHEMBL132377,Sin nombre,309.03,6.51,1998,COc1ccccc1CNCCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCNCc1ccccc1OC,Media
ACHE,CHEMBL95,TACRINE,218.78,6.66,1998,Nc1c2c(nc3ccccc13)CCCC2,Media
ACHE,CHEMBL134488,Sin nombre,1862.09,5.73,1998,COc1ccccc1CNCCCCCC(=O)NCCCCCCCCNC(=O)CCCCCNCc1ccccc1OC,Media
ACHE,CHEMBL134382,Sin nombre,7244.36,5.14,1998,COc1ccccc1CNCCCCCCNCCCCCNCCCCCCNCc1ccccc1OC,Media
ACHE,CHEMBL59109,Sin nombre,3000.0,5.52,1996,NC12CC(C(F)(F)F)=CC(Cc3nc(O)ccc31)/C2=C\C(F)(F)F,Media
ACHE,CHEMBL286990,Sin nombre,10600.0,4.97,1991,C[n+]1ccn(COCC(C)(C)[N+](=O)[O-])c1/C=N/O.[Cl-],Baja
ACHE,CHEMBL294891,Sin nombre,400.0,6.4,1996,C/C=C1\C2C=C(C(F)(F)F)CC1(N)c1ccc(O)nc1C2,Media
ACHE,CHEMBL395280,HUPERZINE A,5.0,8.3,1996,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,Muy Alta
ACHE,CHEMBL95,TACRINE,254.0,6.59,1997,Nc1c2c(nc3ccccc13)CCCC2,Media
ACHE,CHEMBL50608,Sin nombre,11480.0,4.94,1997,Nc1cc(-c2ccccc2)nc2ccccc12,Baja
ACHE,CHEMBL29300,Sin nombre,6800.0,5.17,1991,CN(CCn1cc[n+](C)c1/C=N/O)S(C)(=O)=O.[Cl-],Media
ACHE,CHEMBL27675,Sin nombre,26500.0,4.58,1991,C[n+]1ccn(COCCS(C)(=O)=O)c1/C=N/O.[Cl-],Baja
ACHE,CHEMBL435373,Sin nombre,2000.0,5.7,1996,CC1=CC2Cc3nc(O)ccc3C(N)(C1)/C2=C/C(F)(F)F,Media
ACHE,CHEMBL60167,Sin nombre,676.0,6.17,1997,Nc1c2c(nc3ccccc13)-c1ccccc1C2,Media
ACHE,CHEMBL89012,Sin nombre,2980.0,5.53,1997,Nc1c2c(nc3ccccc13)-c1ccccc1CC2,Media
ACHE,CHEMBL314800,Sin nombre,18580.0,4.73,1997,Nc1c2c(nc3ccccc13)-c1ccccc1CS2,Baja
ACHE,CHEMBL553212,Sin nombre,17900.0,4.75,1991,C[n+]1ccn(CCN2CCCC2)c1/C=N/O.[Cl-],Baja
ACHE,CHEMBL156630,Sin nombre,4190.0,5.38,1996,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21,Media
ACHE,CHEMBL315013,Sin nombre,219.0,6.66,2002,COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL155754,Sin nombre,230.0,6.64,1996,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,Media
ACHE,CHEMBL314658,Sin nombre,750.0,6.12,2002,COc1cc2cc(C(=O)CC3=CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL87170,Sin nombre,4.6,8.34,2002,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccccc4)cc3)sc2cc1OC,Muy Alta
ACHE,CHEMBL87959,Sin nombre,390.0,6.41,2002,COc1cc2cc(C(=O)CCC3CC[N+](C)(CCOc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL87295,Sin nombre,2570.0,5.59,2002,CCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],Media
ACHE,CHEMBL82810,Sin nombre,40.0,7.4,2002,COc1cc2cc(C(=O)CCc3cc[n+](CC4CCC4)cc3)sc2cc1OC.[Br-],Muy Alta
ACHE,CHEMBL157182,Sin nombre,670.0,6.17,1996,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21,Media
ACHE,CHEMBL88049,Sin nombre,110.0,6.96,2002,COc1cc2cc(C(=O)CCCCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL87128,Sin nombre,280.0,6.55,2002,CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],Media
ACHE,CHEMBL160219,Sin nombre,160.0,6.8,1996,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1,Media
ACHE,CHEMBL445916,Sin nombre,230.0,6.64,1996,CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC,Media
ACHE,CHEMBL85473,Sin nombre,19580.0,4.71,2002,COc1cc2cc(C(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Baja
ACHE,CHEMBL87320,Sin nombre,53.0,7.28,2002,COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1.[Br-],Muy Alta
ACHE,CHEMBL87280,Sin nombre,1000.0,6.0,2002,COC(=O)c1ccc(C[n+]2ccc(CCC(=O)c3cc4cc(OC)c(OC)cc4s3)cc2)cc1,Media
ACHE,CHEMBL348607,Sin nombre,3170.0,5.5,1996,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1,Media
ACHE,CHEMBL313809,Sin nombre,520.0,6.28,2002,COc1cc2cc(C(=O)C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL87849,Sin nombre,2.6,8.59,2002,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2cc1OC,Muy Alta
ACHE,CHEMBL314398,Sin nombre,120.0,6.92,2002,COc1cc2cc(C(=O)CC(OC)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL87373,Sin nombre,110.0,6.96,2002,COc1cc2cc(C(=O)CCc3cc[n+](CC4CC4)cc3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL156931,Sin nombre,3360.0,5.47,1996,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,Media
ACHE,CHEMBL83005,Sin nombre,90.0,7.05,2002,COc1cc2cc(C(=O)CC3(O)CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Muy Alta
ACHE,CHEMBL315515,Sin nombre,28.0,7.55,2002,COc1cc2cc(C(=O)CCC3CC[N+](C)(CC4CCCCO4)CC3)sc2cc1OC.[Br-],Muy Alta
ACHE,CHEMBL441632,Sin nombre,900.0,6.05,2002,COc1cc2cc(C(=O)CCc3cc[n+](C)cc3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL87937,Sin nombre,30.0,7.52,2002,COCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,Muy Alta
ACHE,CHEMBL441808,Sin nombre,380.0,6.42,2002,COc1cc2cc(C(=O)CC(O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL87649,Sin nombre,6.0,8.22,2002,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccsc4)cc3)sc2cc1OC,Muy Alta
ACHE,CHEMBL160836,Sin nombre,140.0,6.85,1996,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,Media
ACHE,CHEMBL156861,Sin nombre,180.0,6.75,1996,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21,Media
ACHE,CHEMBL314766,Sin nombre,54.0,7.27,2002,COC(=O)C[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1.[Br-],Muy Alta
ACHE,CHEMBL315013,Sin nombre,665.0,6.18,2002,COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL88026,Sin nombre,8.0,8.1,2002,COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Muy Alta
ACHE,CHEMBL86233,Sin nombre,10000.0,5.0,2002,COc1cc2cc(CC3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL155350,Sin nombre,160.0,6.8,1996,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21,Media
ACHE,CHEMBL433041,EPTASTIGMINE,9.0,8.05,1996,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Muy Alta
ACHE,CHEMBL155863,Sin nombre,3840.0,5.42,1996,CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,Media
ACHE,CHEMBL87980,Sin nombre,540.0,6.27,2002,C=CC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1.[Br-],Media
ACHE,CHEMBL87441,Sin nombre,7.0,8.15,2002,CCOCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,Muy Alta
ACHE,CHEMBL315013,Sin nombre,43.0,7.37,2002,COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Muy Alta
ACHE,CHEMBL158946,Sin nombre,60.0,7.22,1996,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,Muy Alta
ACHE,CHEMBL315013,Sin nombre,190.0,6.72,2002,COc1cc2cc(C(=O)CC(O)C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL87550,Sin nombre,2670.0,5.57,2002,COc1cc2cc(C=C3CC[N+](C)(Cc4ccccc4)CC3)sc2cc1OC.[Br-],Media
ACHE,CHEMBL609440,Sin nombre,4.5,8.35,2002,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc([N+](=O)[O-])o4)cc3)sc2cc1OC.[Br-],Muy Alta
ACHE,CHEMBL350464,Sin nombre,5680.0,5.25,1996,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21,Media
ACHE,CHEMBL313271,Sin nombre,32.0,7.5,2002,COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccc([N+](=O)[O-])o4)CC3)sc2cc1OC.[Br-],Muy Alta
ACHE,CHEMBL423313,Sin nombre,79.0,7.1,2002,COc1cc2cc(C(=O)CCC3CC[N+](C)(CC(=O)OC(C)(C)C)CC3)sc2cc1OC.[Br-],Muy Alta
ACHE,CHEMBL309667,Sin nombre,10.9,7.96,1998,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2,Muy Alta
ACHE,CHEMBL419470,Sin nombre,22.1,7.66,1998,C[C@@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,Muy Alta
ACHE,CHEMBL80221,Sin nombre,161.0,6.79,1998,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2Cc1ccccc1,Media
ACHE,CHEMBL94,PHYSOSTIGMINE,27.9,7.55,1998,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Muy Alta
ACHE,CHEMBL431844,Sin nombre,31.5,7.5,1992,Nc1c2c(nc3ccccc13)C1CCC2C1,Muy Alta
ACHE,CHEMBL80247,Sin nombre,13.8,7.86,1998,CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CCNC12,Muy Alta
ACHE,CHEMBL418917,Sin nombre,40.8,7.39,1998,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,Muy Alta
ACHE,CHEMBL77896,Sin nombre,1090.0,5.96,1998,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,Media
ACHE,CHEMBL369661,Sin nombre,68.9,7.16,1992,Nc1c2c(nc3c(Cl)cccc13)CCCC2,Muy Alta
ACHE,CHEMBL94,PHYSOSTIGMINE,61.0,7.21,1992,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,Muy Alta
ACHE,CHEMBL502,DONEPEZIL,2.33,8.63,1992,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,Muy Alta
ACHE,CHEMBL74089,Sin nombre,21.0,7.68,1998,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2C,Muy Alta
ACHE,CHEMBL134057,Sin nombre,9.4,8.03,1992,Nc1c2c(nc3cccc(Cl)c13)CCCC2,Muy Alta
ACHE,CHEMBL76640,(+)-PHYSOSTIGMINE,9890.0,5.0,1998,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)C1N2C,Media
ACHE,CHEMBL76241,Sin nombre,330.0,6.48,1998,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2C,Media
ACHE,CHEMBL431784,Sin nombre,56.7,7.25,1998,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2,Muy Alta
ACHE,CHEMBL51934,VELNACRINE,164.0,6.79,1992,Nc1c2c(nc3ccccc13)CCCC2O,Media
ACHE,CHEMBL352500,Sin nombre,4.5,8.35,1992,Nc1c2c(nc3cc(Cl)ccc13)C1CCC2C1,Muy Alta
ACHE,CHEMBL292314,Sin nombre,1.8,8.74,1992,Nc1c2c(nc3cc(Cl)ccc13)CCCC2,Muy Alta
ACHE,CHEMBL355740,Sin nombre,84.3,7.07,1992,Nc1c2c(nc3c(Cl)cccc13)C1CCC2C1,Muy Alta
ACHE,CHEMBL54727,Sin nombre,24.0,7.62,1998,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,Muy Alta
ACHE,CHEMBL75919,Sin nombre,3500.0,5.46,1998,CN1CC[C@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,Media
ACHE,CHEMBL95,TACRINE,33.5,7.47,1992,Nc1c2c(nc3ccccc13)CCCC2,Muy Alta
ACHE,CHEMBL309351,Sin nombre,231.0,6.64,1998,C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,Media
ACHE,CHEMBL75743,Sin nombre,1490.0,5.83,1998,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCNC1N2,Media
ACHE,CHEMBL76135,Sin nombre,41130.0,4.39,1998,C[C@@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,Baja
ACHE,CHEMBL440497,Sin nombre,3560.0,5.45,1998,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,Media
ACHE,CHEMBL368196,Sin nombre,42.2,7.38,1992,Nc1c2c(nc3cccc(Cl)c13)C1CCC2C1,Muy Alta
ACHE,CHEMBL62084,Sin nombre,743.0,6.13,1992,Nc1c2c(nc3ccc(Cl)cc13)CCCC2,Media
ACHE,CHEMBL172118,Sin nombre,1100.0,5.96,1992,Nc1c2c(nc3ccc(Cl)cc13)C1CCC2C1,Media
ACHE,CHEMBL1202875,Sin nombre,710.0,6.15,2001,Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,Media
ACHE,CHEMBL95,TACRINE,143.0,6.84,1991,Nc1c2c(nc3ccccc13)CCCC2,Media
ACHE,CHEMBL62084,Sin nombre,3680.0,5.43,1991,Nc1c2c(nc3ccc(Cl)cc13)CCCC2,Media
ACHE,CHEMBL134057,Sin nombre,39.0,7.41,1991,Nc1c2c(nc3cccc(Cl)c13)CCCC2,Muy Alta
ACHE,CHEMBL436367,Sin nombre,455.0,6.34,1991,Nc1c2c(nc3c1CCCO3)CCCC2,Media
ACHE,CHEMBL132365,Sin nombre,615.0,6.21,1991,COc1cccc2nc3c(c(N)c12)CCCC3,Media
ACHE,CHEMBL3215535,Sin nombre,140.0,6.85,2001,Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,Media
ACHE,CHEMBL1202865,Sin nombre,120.0,6.92,2001,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1,Media
ACHE,CHEMBL133520,Sin nombre,335.0,6.47,1991,Nc1c2c(nc3cccc(F)c13)OCCC2,Media
ACHE,CHEMBL130373,Sin nombre,42.0,7.38,1991,Nc1c2c(nc3cnccc13)OCCC2,Muy Alta
ACHE,CHEMBL95,TACRINE,95.0,7.02,2001,Nc1c2c(nc3ccccc13)CCCC2,Muy Alta
ACHE,CHEMBL1202884,Sin nombre,190.0,6.72,2001,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4ccc5ccccc5c4nn3)CC2)cc1,Media
ACHE,CHEMBL263198,OCTAAMINOACRIDINE,360.0,6.44,1991,Nc1c2c(nc3c1CCCC3)CCCC2,Media
