target_id,uniprot_id,gene_symbol,gene_name,score_overall,max_clinical_phase,n_drugs,score_known_drug,score_rna_expression,score_genetic_literature,score_literature,score_genetic_association,score_animal_model,score_affected_pathway
ENSG00000178127,P19404,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,0.5277532415855091,4,3,,,,0.10587366449436345,,,0.8628203252428481
ENSG00000073060,A0A7P0T913,SCARB1,scavenger receptor class B member 1,0.5276182686705879,0,0,,,,0.3211786508847038,0.44815170442780966,,0.748716758811487
ENSG00000164167,P62312,LSM6,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",0.5268771472813407,0,0,,,,0.024317231904464845,,,0.865457038266544
ENSG00000147889,P42771,CDKN2A,cyclin dependent kinase inhibitor 2A,0.5262879367200846,0,0,,,,0.8484717981498209,0.05400549677328782,,0.8172794925690077
ENSG00000129757,P49918,CDKN1C,cyclin dependent kinase inhibitor 1C,0.5250486731811728,0,0,,,,0.07111608244393944,,,0.8601093946865037
ENSG00000170312,P06493,CDK1,cyclin dependent kinase 1,0.5248745038218616,3,12,,,,0.4301570630446804,,,0.8418708502856196
ENSG00000058729,Q9BVS4,RIOK2,RIO kinase 2,0.5244154452261425,0,0,,,,,,,0.8626235869056388
ENSG00000023228,P28331,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,0.5232633839227692,4,3,,0.03168564303187851,,0.06129681997491774,,,0.8569595671417235
ENSG00000100330,Q13615,MTMR3,myotubularin related protein 3,0.5232084476516636,0,0,,,,,0.13270721652349302,,0.8274613634158176
ENSG00000134824,O95864,FADS2,fatty acid desaturase 2,0.5223880919158287,0,0,,,,0.15098140984219172,0.38408042079173504,,0.7599134970145264
ENSG00000198563,Q13838,DDX39B,DExD-box helicase 39B,0.5221986921984005,0,0,,0.030420464862567387,,0.6167964550767906,,,0.8274613634158176
ENSG00000147416,P21281,ATP6V1B2,ATPase H+ transporting V1 subunit B2,0.5211752723946863,0,0,,0.09402388136863021,,0.06661908323827347,,,0.8511121304938736
ENSG00000010256,P31930,UQCRC1,ubiquinol-cytochrome c reductase core protein 1,0.5183860713313272,0,0,,0.04312285109460208,,0.6486591694859206,,,0.8193144806235529
ENSG00000114573,P38606,ATP6V1A,ATPase H+ transporting V1 subunit A,0.5182959504544525,0,0,,0.023317173481998715,,0.6544968528832765,,,0.8193144806235529
ENSG00000087586,O14965,AURKA,aurora kinase A,0.5155123056568938,3,18,,,,0.5595918557181969,,,0.8199990055713176
ENSG00000198087,Q9Y5K6,CD2AP,CD2 associated protein,0.5136010592615005,0,0,,,,0.9058846598895794,0.7995405101691935,,
ENSG00000005381,P05164,MPO,myeloperoxidase,0.511754493198146,3,1,,,,0.8408558506279664,0.7997544896735449,,
ENSG00000158864,O75306,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,0.5110539411128694,4,3,,,,0.07851635642767549,,,0.8367191093983722
ENSG00000115020,Q9Y2I7,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing",0.5089489781100042,2,1,,0.027575101239446696,,0.3925271224000752,,,0.8169432867688655
ENSG00000164615,P49069,CAMLG,calcium modulating ligand,0.5075988192398417,0,0,,,,0.44074982826842524,,,0.812924022683325
ENSG00000139180,Q16795,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,0.5061718779111514,4,3,,,,0.18264932735950007,,,0.8234818375951567
ENSG00000131408,P55055,NR1H2,nuclear receptor subfamily 1 group H member 2,0.5047490624709965,2,5,,,,0.09342581656561336,,,0.8256025897745858
ENSG00000113712,P48729,CSNK1A1,casein kinase 1 alpha 1,0.5040358168138124,0,0,,0.05454141221640363,,0.23220459040920083,,,0.8162783847527069
ENSG00000073921,Q13492,PICALM,phosphatidylinositol binding clathrin assembly protein,0.5030910866104019,0,0,,,,0.9222684497092316,0.7814332137219766,,
ENSG00000023516,Q9UKA4,AKAP11,A-kinase anchoring protein 11,0.5030645574681958,0,0,,,,0.012158615952232422,,,0.8268950669853377
ENSG00000120539,Q96GX5,MASTL,microtubule associated serine/threonine kinase like,0.5030392466541774,0,0,,,,,,,0.8274613634158176
ENSG00000143374,Q9BW92,TARS2,"threonyl-tRNA synthetase 2, mitochondrial",0.5030392466541774,0,0,,,,,,,0.8274613634158176
ENSG00000155097,P21283,ATP6V1C1,ATPase H+ transporting V1 subunit C1,0.5029313970500541,0,0,,0.04111922929052129,,0.015198269940290528,,,0.8248902582098572
ENSG00000167258,Q9NYV4,CDK12,cyclin dependent kinase 12,0.5016300431916646,2,4,,,,0.012158615952232422,,,0.8245353999275623
ENSG00000103510,Q9H7Z6,KAT8,lysine acetyltransferase 8,0.4994164242770699,0,0,,,,0.502182003833403,0.20171599439161134,,0.7599134970145264
ENSG00000168918,Q92835,INPP5D,inositol polyphosphate-5-phosphatase D,0.49941467025082475,3,1,,,,0.8853155838152121,0.7772334312668707,,
ENSG00000143393,Q9UBF8,PI4KB,phosphatidylinositol 4-kinase beta,0.4993421627252597,0,0,,,,,,,0.8213799410837981
ENSG00000087589,Q9NQ75,CASS4,Cas scaffold protein family member 4,0.49870117264777314,0,0,,,,0.2521713791073562,0.8077169921233297,,
ENSG00000141510,P04637,TP53,tumor protein p53,0.4985158260455752,3,9,,,,0.9533884066896602,0.1119398637871351,,0.7599134970145264
ENSG00000099795,P17568,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,0.49812141247755826,4,3,,0.10656396688129041,,0.03343619386863916,,,0.8133006747472032
ENSG00000139505,Q9Y217,MTMR6,myotubularin related protein 6,0.4976720716320659,0,0,,,,,,,0.8186327680506912
ENSG00000180596,P62807,H2BC4,H2B clustered histone 4,0.4953245841496741,0,0,,,,,0.8147713293941626,,
ENSG00000130294,Q12756,KIF1A,kinesin family member 1A,0.49343986451286675,0,0,,0.05892000314290202,,0.3467610480152284,,,0.7930237229002853
ENSG00000165733,Q14692,BMS1,BMS1 ribosome biogenesis factor,0.4900722624375334,0,0,,,,0.14092500290184237,0.17234598102836693,,0.7599134970145264
ENSG00000164733,P07858,CTSB,cathepsin B,0.4899181715213121,0,0,,,,0.887331716342225,0.7615116053290761,,
ENSG00000198793,P42345,MTOR,mechanistic target of rapamycin kinase,0.48961173638190764,4,25,,,,0.9092126319182264,,,0.7599134970145264
ENSG00000204386,Q99519,NEU1,neuraminidase 1,0.4885443143025273,0,0,,,,0.8740960665599992,,,0.7599134970145264
ENSG00000114026,O15527,OGG1,8-oxoguanine DNA glycosylase,0.4877638979811488,0,0,,,,0.8484215547752847,,,0.7599134970145264
ENSG00000051382,P42338,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",0.48686626561889607,3,27,,,,0.8379748617486885,,,0.7589592945899599
ENSG00000163513,P37173,TGFBR2,transforming growth factor beta receptor 2,0.48300815381693035,0,0,,,,0.69196479414061,,,0.7599134970145264
ENSG00000042753,P53680,AP2S1,adaptor related protein complex 2 subunit sigma 1,0.4828052979908348,0,0,,0.04895403649263028,,0.3593437004885991,0.11295717542828856,,0.7573414194114585
ENSG00000067533,Q9Y3B9,RRP15,ribosomal RNA processing 15 homolog,0.48133465130397235,0,0,,,,,0.1279510626586677,,0.7597711864973107
ENSG00000099194,O00767,SCD,stearoyl-CoA desaturase,0.48057724375116667,0,0,,0.04413007206341658,,0.5923781793462937,,,0.7599134970145264
ENSG00000094755,O00591,GABRP,gamma-aminobutyric acid type A receptor subunit pi,0.4797656694900066,4,16,0.13678442946261474,,,0.03647584785669727,,,0.7541714144531904
ENSG00000082898,O14980,XPO1,exportin 1,0.47827816562085945,4,1,,,,0.5363553657433769,,,0.7599134970145264
ENSG00000184967,Q9BVI4,NOC4L,nucleolar complex associated 4 homolog,0.4771552769408291,0,0,,,,0.01823792392834863,0.11499101058848704,,0.7557311588419362
ENSG00000075785,P51149,RAB7A,"RAB7A, member RAS oncogene family",0.4748243557925976,0,0,,,,0.7893399932153335,,,0.7415830107319309
ENSG00000106799,P36897,TGFBR1,transforming growth factor beta receptor 1,0.47444789861542214,2,2,,0.04348228890499464,,0.6490595233203802,,,0.7470115176690084
ENSG00000196396,P18031,PTPN1,protein tyrosine phosphatase non-receptor type 1,0.4733917275759063,0,0,,,,0.3755989749123665,,,0.7599134970145264
ENSG00000176444,P49760,CLK2,CDC like kinase 2,0.47335028742117014,0,0,,,,0.052265161627999095,0.20981269006119269,,0.7250106593008072
ENSG00000141367,Q00610,CLTC,clathrin heavy chain,0.4728839712670384,0,0,,0.06013432186858659,,0.33216819818591464,,,0.7599134970145264
ENSG00000131238,P50897,PPT1,palmitoyl-protein thioesterase 1,0.47276328475750556,0,0,,0.024808225851666886,,0.47556351736110986,,,0.7533302352676176
ENSG00000110717,O00217,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,0.4691093215541423,4,3,,0.10393110582995126,,0.18852271773268373,,,0.7599134970145264
ENSG00000119616,Q9Y324,FCF1,FCF1 rRNA-processing protein,0.46903790002318485,0,0,,,,0.23236466042044185,,,0.7599134970145264
ENSG00000179526,Q9H0F6,SHARPIN,SHANK associated RH domain interactor,0.46888188739637154,0,0,,,,0.3618469745350522,0.7531827523842106,,
ENSG00000147684,Q9Y6M9,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,0.4688652507665982,4,3,,0.035343348171134145,,0.0426193263058947,,,0.7683313610658259
ENSG00000204569,Q96QC0,PPP1R10,protein phosphatase 1 regulatory subunit 10,0.46868935974883674,0,0,,0.03309379316849381,,0.20618986218994148,,,0.7599134970145264
ENSG00000128609,Q16718,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,0.4685556494443896,4,3,,0.06017013664413649,,0.2250364578746403,,,0.758149527410833
ENSG00000196743,P17900,GM2A,ganglioside GM2 activator,0.46841571946124444,0,0,,,,0.21189586481459913,,,0.7599134970145264
ENSG00000161203,Q96CW1,AP2M1,adaptor related protein complex 2 subunit mu 1,0.467972398868533,0,0,,0.1262915963837994,,0.14118169217574736,,,0.7599134970145264
ENSG00000149084,Q53GQ0,HSD17B12,hydroxysteroid 17-beta dehydrogenase 12,0.467953776078164,0,0,,,,0.1966986290471311,,,0.7599134970145264
ENSG00000122218,P53621,COPA,coat protein complex I subunit alpha,0.4663328321395697,0,0,,,,0.14337203513340066,,,0.7599134970145264
ENSG00000151366,O95298,NDUFC2,NADH:ubiquinone oxidoreductase subunit C2,0.4659582283795619,0,0,,,,0.03637114866377526,,,0.7646473465976201
ENSG00000159140,P18583,SON,SON DNA and RNA binding protein,0.4651528457924181,0,0,,,,0.1045522763125786,,,0.7599134970145264
ENSG00000181789,Q9Y678,COPG1,coat protein complex I subunit gamma 1,0.46499219148280807,0,0,,0.08305550556969966,,0.03647584785669726,,,0.7599134970145264
ENSG00000102900,Q8N1F7,NUP93,nucleoporin 93,0.46450866489991455,0,0,,0.013159184730293327,,0.07751117669548169,,,0.7599134970145264
ENSG00000115524,O75533,SF3B1,splicing factor 3b subunit 1,0.4644398507441357,0,0,,0.04097730554171082,,0.06288368622628207,,,0.7599134970145264
ENSG00000278540,Q13085,ACACA,acetyl-CoA carboxylase alpha,0.46418851464066924,0,0,,,,0.14039167038930084,,,0.7565352757907189
ENSG00000138756,Q9NSY1,BMP2K,BMP2 inducible kinase,0.46410074254090683,0,0,,0.06993967712712344,,,,,0.7599134970145264
ENSG00000145675,P27986,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,0.464085753357332,0,0,,,,0.4052268586035266,,,0.7431244818719008
ENSG00000103174,Q9UK23,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,0.4638903158507464,0,0,,0.0630169585878708,,,,,0.7599134970145264
ENSG00000100028,P62318,SNRPD3,small nuclear ribonucleoprotein D3 polypeptide,0.4638227176293007,0,0,,,,0.06079307976116211,,,0.7599134970145264
ENSG00000112159,Q9NU22,MDN1,midasin AAA ATPase 1,0.4634832506063762,0,0,,0.04962513024262236,,,,,0.7599134970145264
ENSG00000125686,Q15648,MED1,mediator complex subunit 1,0.46347110346199655,0,0,,,,0.04922550763994099,,,0.7599134970145264
ENSG00000065328,Q7L590,MCM10,minichromosome maintenance 10 replication initiation factor,0.4633607428109449,0,0,,,,0.045594809820871586,,,0.7599134970145264
ENSG00000184983,P56556,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6,0.46328184777807674,0,0,,,,0.04299928305440196,,,0.7599134970145264
ENSG00000186185,Q86Y91,KIF18B,kinesin family member 18B,0.4632221503654381,0,0,,,,0.04103532883878443,,,0.7599134970145264
ENSG00000111481,P61923,COPZ1,coat protein complex I subunit zeta 1,0.46309293314631633,0,0,,0.021211633517492227,,0.02735688589252295,,,0.7599134970145264
ENSG00000112335,O60493,SNX3,sorting nexin 3,0.46307010931966364,0,0,,,,0.03603340933176881,,,0.7599134970145264
ENSG00000064419,Q9Y5L0,TNPO3,transportin 3,0.46303222738455846,0,0,,,,0.034787151196664985,,,0.7599134970145264
ENSG00000129083,P53618,COPB1,coat protein complex I subunit beta 1,0.4629911629562602,0,0,,,,0.03343619386863916,,,0.7599134970145264
ENSG00000119285,Q9H583,HEATR1,HEAT repeat containing 1,0.462898767992589,0,0,,,,0.030396539880581056,,,0.7599134970145264
ENSG00000184432,P35606,COPB2,coat protein complex I subunit beta 2,0.462898767992589,0,0,,,,0.030396539880581056,,,0.7599134970145264
ENSG00000010244,O43670,ZNF207,zinc finger protein 207,0.462898767992589,0,0,,,,0.030396539880581056,,,0.7599134970145264
ENSG00000133059,Q6XUX3,DSTYK,dual serine/threonine and tyrosine protein kinase,0.462898767992589,0,0,,,,0.030396539880581056,,,0.7599134970145264
ENSG00000006712,Q8N7H5,PAF1,PAF1 component of Paf1/RNA polymerase II complex,0.46281225304634954,0,0,,,,0.030396539880581056,,,0.7597711864973107
ENSG00000157020,P55735,SEC13,"SEC13 homolog, nuclear pore and COPII component",0.46271397806524667,0,0,,,,0.024317231904464845,,,0.7599134970145264
ENSG00000150990,Q8IY37,DHX37,DEAH-box helicase 37,0.46262158310157553,0,0,,,,0.021277577916406734,,,0.7599134970145264
ENSG00000168297,Q7Z7A4,PXK,PX domain containing serine/threonine kinase like,0.462590500523488,0,0,,0.020255008301260435,,,,,0.7599134970145264
ENSG00000158615,Q5SWA1,PPP1R15B,protein phosphatase 1 regulatory subunit 15B,0.4623443982105619,0,0,,,,0.012158615952232422,,,0.7599134970145264
ENSG00000177971,Q9NV31,IMP3,IMP U3 small nucleolar ribonucleoprotein 3,0.4619748183558772,0,0,,,,,,,0.7599134970145264
ENSG00000109111,Q7KZ85,SUPT6H,"SPT6 homolog, histone chaperone and transcription elongation factor",0.4619748183558772,0,0,,,,,,,0.7599134970145264
ENSG00000130810,Q9NQ55,PPAN,peter pan homolog,0.4619748183558772,0,0,,,,,,,0.7599134970145264
ENSG00000163719,Q8NCE2,MTMR14,myotubularin related protein 14,0.4619748183558772,0,0,,,,,,,0.7599134970145264
ENSG00000182004,P62304,SNRPE,small nuclear ribonucleoprotein polypeptide E,0.4619748183558772,0,0,,,,,,,0.7599134970145264
ENSG00000155561,Q92621,NUP205,nucleoporin 205,0.4619748183558772,0,0,,,,,,,0.7599134970145264
ENSG00000135521,Q96GA3,LTV1,LTV1 ribosome biogenesis factor,0.4619748183558772,0,0,,,,,,,0.7599134970145264
ENSG00000171566,O43660,PLRG1,pleiotropic regulator 1,0.4619748183558772,0,0,,,,,,,0.7599134970145264
ENSG00000048162,Q9Y3C1,NOP16,NOP16 nucleolar protein,0.4619748183558772,0,0,,,,,,,0.7599134970145264
ENSG00000106460,Q9NUM4,TMEM106B,transmembrane protein 106B,0.46164404121560887,0,0,,,,0.8995499811412594,0.7143918946786562,,
ENSG00000123384,Q07954,LRP1,LDL receptor related protein 1,0.4613296769016496,2,1,,,,0.9164755785467327,,,0.7130285093825769
ENSG00000086189,Q9UNQ2,DIMT1,DIM1 rRNA methyltransferase and ribosome maturation factor,0.46094985149535184,0,0,,,,,0.06349865857102771,,0.7423528397151181
ENSG00000147246,P28335,HTR2C,5-hydroxytryptamine receptor 2C,0.4605922382778775,4,36,0.634662865739932,0.014704759929126284,,0.08711232913900513,,,0.4834270119773683
ENSG00000167815,P32119,PRDX2,peroxiredoxin 2,0.4605584790270193,0,0,,0.1282813143275777,,0.6824283452358921,,,0.5926521084783387
ENSG00000198554,O75717,WDHD1,WD repeat and HMG-box DNA binding protein 1,0.45980182602941766,0,0,,,,0.012158615952232422,,,0.7557311588419362
ENSG00000140090,Q8NFF2,SLC24A4,solute carrier family 24 member 4,0.4594171011045164,0,0,,,,0.19837132214002548,0.7457876802444409,,
ENSG00000120899,Q14289,PTK2B,protein tyrosine kinase 2 beta,0.45864206390855133,3,2,,,,0.6829792123763289,0.7202824083962414,,
ENSG00000117411,O60909,B4GALT2,"beta-1,4-galactosyltransferase 2",0.45797255589218294,0,0,,,,,,,0.7533300791659522
ENSG00000198888,P03886,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,0.4574563770686376,4,3,,,0.607930797611621,0.3494599704919576,0.547137717850459,,
ENSG00000146090,Q8N431,RASGEF1C,RasGEF domain family member 1C,0.4567148897054895,0,0,,,,0.04270376113889632,0.7491261257303912,,
ENSG00000062598,Q96JJ3,ELMO2,engulfment and cell motility 2,0.4560426660377425,0,0,,,,,,,0.7501555568979204
ENSG00000107862,Q92538,GBF1,golgi brefeldin A resistant guanine nucleotide exchange factor 1,0.4553786701053179,0,0,,,,0.04103532883878443,,,0.7470115675664133
ENSG00000137876,Q9UHA3,RSL24D1,ribosomal L24 domain containing 1,0.454607398421626,0,0,,,,,,,0.7477946506537306
ENSG00000188428,Q8TDH9,BLOC1S5,biogenesis of lysosomal organelles complex 1 subunit 5,0.45430788857411597,0,0,,,,0.09898279964340498,,,0.7423528397151181
ENSG00000127947,Q05209,PTPN12,protein tyrosine phosphatase non-receptor type 12,0.454225041613811,0,0,,,,0.06535256074324927,,,0.7438980747012508
ENSG00000132842,O00203,AP3B1,adaptor related protein complex 3 subunit beta 1,0.4540410740225907,0,0,,,,0.09020500609935292,,,0.7423528397151181
ENSG00000109270,Q9UHA4,LAMTOR3,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 3",0.45345664970015875,0,0,,0.02151985574738907,,0.03858671868173762,,,0.7434942014361413
ENSG00000109606,O43143,DHX15,DEAH-box helicase 15,0.45222310359397544,0,0,,,,0.030396539880581056,,,0.7423528397151181
ENSG00000130202,Q92692,NECTIN2,nectin cell adhesion molecule 2,0.4520503136634298,0,0,,,,0.8241664611647157,0.7023801173356393,,
ENSG00000100241,O95248,SBF1,SET binding factor 1,0.45193513445438527,0,0,,,,0.051674117796987794,,,0.740815273451062
ENSG00000163399,P05023,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,0.451212480049824,4,6,,0.06501172845787856,,0.09035206083847243,,,0.7362479596000331
ENSG00000141499,Q9BUR4,WRAP53,WD repeat containing antisense to TP53,0.45028669857339043,0,0,,,,0.012158615952232422,0.04356857686841358,,0.7295250918048158
ENSG00000125743,P62316,SNRPD2,small nuclear ribonucleoprotein D2 polypeptide,0.4500574373353566,0,0,,0.039747221625369075,,0.21278884960849223,,,0.7287875960873761
ENSG00000109390,O43677,NDUFC1,NADH:ubiquinone oxidoreductase subunit C1,0.44943512952441106,4,3,,,,0.030396539880581056,,,0.7377668340702035
ENSG00000160551,Q7L7X3,TAOK1,TAO kinase 1,0.4483204068100044,0,0,,,,0.21474277854010504,,,0.7267158879163816
ENSG00000153814,Q86VZ6,JAZF1,JAZF zinc finger 1,0.4482041171900724,0,0,,0.03600855258961789,,0.12194202841065023,0.504684047505076,,0.607930797611621
ENSG00000167792,P49821,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,0.4477943385008433,4,3,,0.06775170967814947,,0.14060286724535803,,,0.7280519475101441
ENSG00000167447,Q8ND04,SMG8,SMG8 nonsense mediated mRNA decay factor,0.4471290290115444,0,0,,,,,,,0.7354933008299318
ENSG00000205339,O95373,IPO7,importin 7,0.44544164518705115,0,0,,,,,,,0.732717682566928
ENSG00000180530,P48552,NRIP1,nuclear receptor interacting protein 1,0.44476860961519354,0,0,,0.010364803404099497,,0.18562061689484682,,,0.722099230347623
ENSG00000156471,P48651,PTDSS1,phosphatidylserine synthase 1,0.4438498804381088,0,0,,,,0.05562229058814327,,,0.7273182358931454
